JP,adria-airways,Adria Airways
HG,niki,Niki
DD,nok-air,Nok Air
5N,nordavia,Aeroflot-Nord
DY,norwegian,Norwegian Air Shuttle
BJ,nouvelair,Nouvel Air Tunisie
1I,novair,Sky Trek International Airlines
BK,okay-airways,Potomac Air
AT,olympic-air,Royal Air Maroc
WY,oman-air,Oman Air
8Q,onur-air,Maldivian Air Taxi
EC,openskies,Avialeasing Aviation Company
HK,orient-thai,Yangon Airways
PK,pia-pakistan-international-airlines,Pakistan International Airlines
DV,pal-express,Scat Air
2Z,passaredo-linhas-aereas,Changan Airlines
MM,peach-aviation,Peach Aviation
PC,pegasus-airlines,Pegasus Airlines
P9,peruvian-airlines,Peruvian Airlines
PS,petroleum-air-services,Ukraine International Airlines
PR,philippine-airlines,Philippine Airlines
HK,phuket-air,Yangon Airways
PD,porter-airlines,Porter Airlines
PW,precision,Precision Air
QF,qantas-airways,Qantas
QF,qantaslink,Qantas
QR,qatar-airways,Qatar Airways
RX,regent-airways,Rainbow Air Polynesia
ZL,regional-express,Regional Express
FV,rossiya-airlines,Rossiya-Russian Airlines
AT,royal-air-maroc,Royal Air Maroc
BI,royal-brunei-airlines,Royal Brunei Airlines
RJ,royal-jordanian-airlines,Royal Jordanian
WB,rwandair,Rwandair Express
FR,ryanair,Ryanair
S7,s7-siberia-airlines,S7 Airlines
CP,sa-express,Compass Airlines
4Q,safi-airways,Safi Airlines
SB,santa-barbara,Air Caledonie International
SK,sas-scandinavian-airlines,Scandinavian Airlines System
S4,sata-air-azores,SATA International
S4,sata-internacional,SATA International
SV,saudi-arabian-airlines,Saudi Arabian Airlines
TZ,scoot,Scoot
NL,shaheen-air,Shaheen Air International
SC,shandong-airlines,Shandong Airlines
FM,shanghai-airlines,Shanghai Airlines
ZH,shenzhen-airlines,Shenzhen Airlines
3U,sichuan-airlines,Sichuan Airlines
MI,silkair,SilkAir
SQ,singapore-airlines,Singapore Airlines Cargo
H2,sky-airline,Sky Airline
G3,sky-express-airlines,Sky Express
AK,skybus,AirAsia
BC,skymark-airlines,Skymark Airlines
OO,skywest-airlines,SkyWest
S5,small-planet-airlines-uab,Trast Aero
QS,smartwings,Travel Service
8R,sol-lineas-aereas,TRIP Linhas A
IE,solomon-airlines,Solomon Airlines
SA,south-african-airways,South African Airways
WN,southwest-airlines,Southwest Airlines
SG,spicejet,Spicejet
NK,spirit-airlines,Spirit Airlines
AS,spring,Alaska Airlines
UL,srilankan-airlines,SriLankan Airlines
SJ,sriwijaya-air,Sriwijaya Air
7G,starflyer,Star Flyer
SD,sudan-airways,Sudan Airways
SY,sun-country-airlines,Sun Country Airlines
WG,sunwing-airlines,Sunwing
PY,surinam-airways,Surinam Airways
LX,swiss-international-air-lines,Swiss International Air Lines
DA,syrianair,Dana Air
DT,taag-angola-airlines,TAAG Angola Airlines
SA,taca,South African Airways
TA,taca-regional,Grupo TACA
VR,tacv-cabo,TACV
7J,tajikistan-airlines,Tajik Air
JJ,tam-airlines,TAM Brazilian Airlines
EQ,tame,TAME
TP,tap-portugal,TAP Portugal
RO,tarom-romanian-airlines,Tarom
FD,thai-airasia,Thai AirAsia
TG,thai-airways,Thai Airways International
MT,thomas-cook-airlines,Thomas Cook Airlines
HQ,thomas-cook-belgium-airlines-customer,HQ- Business Express
DK,thomas-cook-airlines-scandinavia,Eastland Air
BY,thomson-airways,Thomsonfly
GS,tianjin-airlines,Grant Aviation
TT,tigerair,Tiger Airways Australia
UN,transaero-airlines,Transaero Airlines
GE,transasia-airways,TransAsia Airways
HV,transavia,Transavia Holland
9N,tropic-air-belize,Regional Air Iceland
X3,tuifly,TUIfly
TU,tunisair,Tunisair
TK,turkish-airlines,Turkish Airlines
T5,turkmenistan-airlines,Turkmenistan Airlines
PS,ukraine-international-airlines,Ukraine International Airlines
UA,united-airlines,United Airlines
U6,ural-airlines,Ural Airlines
US,us-airways,US Airways
UT,utair-aviation,UTair Aviation
TA,uzbekistan-airways,Grupo TACA
JW,vanilla-air,Arrow Air
VJ,vietjetair,Royal Air Cambodge
VN,vietnam-airlines,Vietnam Airlines
VX,virgin-america,Virgin America
VS,virgin-atlantic-airways,Virgin Atlantic Airways
VA,virgin-australia,Virgin Australia
VG,vlm-airlines,VLM Airlines
ML,volaris,Maldivo Airlines
V7,volotea,VOLOTEA Airways
VY,vueling-airlines,Vueling Airlines
WS,westjet,WestJet
TR,wideroe,Tiger Airways
TK,wizz-air,Turkish Airlines
WW,wow-air,bmibaby
MF,xiamen-airlines,Xiamen Airlines
SE,xl-airways-france,XL Airways France
R3,yakutia-airlines,Aircompany Yakutia
RG,yangon-airways,VRG Linhas Aereas
AD,yemenia,Azul
